Plant_ID,Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days,Temperature (°F),Growth Weeks,Normalized Humidity,Humidity Level
3,2023-08-18,30.9,58,643,6.4,16,87.61999999999999,2.29,0.26666666666666666,Moderate
3,2023-08-19,30.8,67,682,6.6,17,87.44,2.43,0.5666666666666667,High
3,2023-08-20,30.9,79,467,6.3,18,87.61999999999999,2.57,0.9666666666666667,High
3,2023-08-21,30.2,58,714,6.7,19,86.36,2.71,0.26666666666666666,Moderate
3,2023-08-22,30.5,80,726,6.6,20,86.9,2.86,1.0,High
3,2023-08-23,30.8,79,780,6.1,21,87.44,3.0,0.9666666666666667,High
3,2023-08-24,31.3,55,545,6.4,22,88.34,3.14,0.16666666666666666,Moderate
3,2023-08-25,31.4,74,630,6.6,23,88.52,3.29,0.8,High
3,2023-08-26,31.4,53,491,6.4,24,88.52,3.43,0.1,Moderate
3,2023-08-27,30.1,80,661,6.7,25,86.18,3.57,1.0,High
3,2023-08-28,29.4,75,535,6.1,26,84.91999999999999,3.71,0.8333333333333334,High
3,2023-08-29,28.7,73,629,6.6,27,83.66,3.86,0.7666666666666667,High
3,2023-08-30,29.1,73,738,6.6,28,84.38000000000001,4.0,0.7666666666666667,High
3,2023-08-31,29.2,69,758,6.2,29,84.56,4.14,0.6333333333333333,High
3,2023-09-01,31.7,76,799,6.3,30,89.06,4.29,0.8666666666666667,High
3,2023-09-02,31.7,75,577,6.2,31,89.06,4.43,0.8333333333333334,High
3,2023-09-03,31.7,69,439,6.3,32,89.06,4.57,0.6333333333333333,High
3,2023-09-04,31.7,50,516,6.5,33,89.06,4.71,0.0,Moderate
3,2023-09-05,32.0,72,741,6.8,34,89.6,4.86,0.7333333333333333,High
3,2023-09-06,32.1,72,492,6.0,35,89.78,5.0,0.7333333333333333,High
3,2023-09-07,31.5,75,762,6.2,36,88.7,5.14,0.8333333333333334,High
3,2023-09-08,29.8,78,525,6.0,37,85.64,5.29,0.9333333333333333,High
3,2023-09-09,20.1,80,428,6.5,38,68.18,5.43,1.0,High
3,2023-09-10,31.1,79,794,6.3,39,87.98,5.57,0.9666666666666667,High
3,2023-09-11,31.2,73,460,6.7,40,88.16,5.71,0.7666666666666667,High
3,2023-09-12,31.2,69,403,6.6,41,88.16,5.86,0.6333333333333333,High
3,2023-09-13,30.4,54,480,6.7,42,86.72,6.0,0.13333333333333333,Moderate
3,2023-09-14,29.1,73,747,6.1,43,84.38000000000001,6.14,0.7666666666666667,High
3,2023-09-15,30.6,58,479,6.7,44,87.08000000000001,6.29,0.26666666666666666,Moderate
3,2023-09-16,31.5,73,691,6.7,45,88.7,6.43,0.7666666666666667,High
3,2023-09-17,30.5,75,517,6.4,46,86.9,6.57,0.8333333333333334,High
3,2023-09-18,29.7,72,549,6.6,47,85.46000000000001,6.71,0.7333333333333333,High
4,2023-08-03,33.4,62,547,6.7,1,92.11999999999999,0.14,0.4,High
4,2023-08-04,33.5,54,609,6.7,2,92.3,0.29,0.13333333333333333,Moderate
4,2023-08-05,33.4,60,794,6.3,3,92.11999999999999,0.43,0.3333333333333333,Moderate
4,2023-08-06,33.4,58,562,6.0,4,92.11999999999999,0.57,0.26666666666666666,Moderate
4,2023-08-07,33.4,57,726,6.1,5,92.11999999999999,0.71,0.23333333333333334,Moderate
4,2023-08-08,32.3,59,442,6.7,6,90.14,0.86,0.3,Moderate
4,2023-08-09,32.3,65,598,6.4,7,90.14,1.0,0.5,High
4,2023-08-10,22.7,57,549,6.5,8,72.86,1.14,0.23333333333333334,Moderate
4,2023-08-11,31.9,69,785,6.7,9,89.41999999999999,1.29,0.6333333333333333,High
4,2023-08-12,30.2,66,762,6.3,10,86.36,1.43,0.5333333333333333,High
4,2023-08-13,30.1,70,419,6.1,11,86.18,1.57,0.6666666666666666,High
4,2023-08-14,30.1,64,525,6.2,12,86.18,1.71,0.4666666666666667,High
4,2023-08-15,30.1,66,608,6.7,13,86.18,1.86,0.5333333333333333,High
4,2023-08-16,29.8,52,458,6.3,14,85.64,2.0,0.06666666666666667,Moderate
4,2023-08-17,29.6,59,571,6.0,15,85.28,2.14,0.3,Moderate
4,2023-08-18,30.9,57,747,6.7,16,87.61999999999999,2.29,0.23333333333333334,Moderate
4,2023-08-19,30.8,77,518,6.7,17,87.44,2.43,0.9,High
4,2023-08-20,30.9,66,490,6.3,18,87.61999999999999,2.57,0.5333333333333333,High
4,2023-08-21,30.2,71,502,6.7,19,86.36,2.71,0.7,High
4,2023-08-22,30.5,58,631,6.1,20,86.9,2.86,0.26666666666666666,Moderate
4,2023-08-23,30.8,58,735,6.4,21,87.44,3.0,0.26666666666666666,Moderate
4,2023-08-24,31.3,73,418,6.7,22,88.34,3.14,0.7666666666666667,High
4,2023-08-25,31.4,63,740,6.1,23,88.52,3.29,0.43333333333333335,High
4,2023-08-26,31.4,53,402,6.7,24,88.52,3.43,0.1,Moderate
4,2023-08-27,30.1,66,652,6.6,25,86.18,3.57,0.5333333333333333,High
4,2023-08-28,29.4,56,437,6.7,26,84.91999999999999,3.71,0.2,Moderate
4,2023-08-29,28.7,73,558,6.5,27,83.66,3.86,0.7666666666666667,High
4,2023-08-30,29.1,71,525,6.6,28,84.38000000000001,4.0,0.7,High
4,2023-08-31,29.2,63,604,6.5,29,84.56,4.14,0.43333333333333335,High
4,2023-09-01,31.7,68,787,6.6,30,89.06,4.29,0.6,High
4,2023-09-02,31.7,71,711,6.8,31,89.06,4.43,0.7,High
4,2023-09-03,31.7,69,546,6.3,32,89.06,4.57,0.6333333333333333,High
4,2023-09-04,31.7,71,485,6.2,33,89.06,4.71,0.7,High
4,2023-09-05,32.0,71,497,6.7,34,89.6,4.86,0.7,High
4,2023-09-06,32.1,51,577,6.1,35,89.78,5.0,0.03333333333333333,Moderate
4,2023-09-07,31.5,60,647,6.5,36,88.7,5.14,0.3333333333333333,Moderate
4,2023-09-08,29.8,78,564,6.2,37,85.64,5.29,0.9333333333333333,High
4,2023-09-09,20.1,51,530,6.2,38,68.18,5.43,0.03333333333333333,Moderate
4,2023-09-10,31.1,63,543,6.3,39,87.98,5.57,0.43333333333333335,High
4,2023-09-11,31.2,50,491,6.2,40,88.16,5.71,0.0,Moderate
4,2023-09-12,31.2,72,729,6.6,41,88.16,5.86,0.7333333333333333,High
4,2023-09-13,30.4,64,698,6.1,42,86.72,6.0,0.4666666666666667,High
4,2023-09-14,29.1,62,530,6.8,43,84.38000000000001,6.14,0.4,High
4,2023-09-15,30.6,58,764,6.4,44,87.08000000000001,6.29,0.26666666666666666,Moderate
4,2023-09-16,31.5,63,654,6.7,45,88.7,6.43,0.43333333333333335,High
4,2023-09-17,31.3,71,652,6.8,46,88.34,6.57,0.7,High
4,2023-09-18,30.8,63,754,6.1,47,87.44,6.71,0.43333333333333335,High
4,2023-09-19,30.6,62,641,6.2,48,87.08000000000001,6.86,0.4,High
5,2023-08-03,33.4,67,651,6.3,1,92.11999999999999,0.14,0.5666666666666667,High
5,2023-08-04,33.5,53,684,6.6,2,92.3,0.29,0.1,Moderate
5,2023-08-05,33.4,54,449,6.1,3,92.11999999999999,0.43,0.13333333333333333,Moderate
5,2023-08-06,33.4,76,572,6.6,4,92.11999999999999,0.57,0.8666666666666667,High
5,2023-08-07,33.4,67,571,6.7,5,92.11999999999999,0.71,0.5666666666666667,High
5,2023-08-08,32.3,50,481,6.5,6,90.14,0.86,0.0,Moderate
5,2023-08-09,32.3,74,558,6.7,7,90.14,1.0,0.8,High
5,2023-08-10,22.7,59,652,6.5,8,72.86,1.14,0.3,Moderate
5,2023-08-11,31.9,54,637,6.7,9,89.41999999999999,1.29,0.13333333333333333,Moderate
5,2023-08-12,30.2,77,417,6.8,10,86.36,1.43,0.9,High
5,2023-08-13,30.1,79,429,6.2,11,86.18,1.57,0.9666666666666667,High
5,2023-08-14,30.1,63,500,6.5,12,86.18,1.71,0.43333333333333335,High
5,2023-08-15,30.1,75,675,6.8,13,86.18,1.86,0.8333333333333334,High
5,2023-08-16,29.8,78,624,6.3,14,85.64,2.0,0.9333333333333333,High
5,2023-08-17,29.6,65,525,6.3,15,85.28,2.14,0.5,High
5,2023-08-18,30.9,78,778,6.0,16,87.61999999999999,2.29,0.9333333333333333,High
5,2023-08-19,30.8,68,678,6.1,17,87.44,2.43,0.6,High
5,2023-08-20,30.9,57,502,6.7,18,87.61999999999999,2.57,0.23333333333333334,Moderate
5,2023-08-21,30.2,67,766,6.1,19,86.36,2.71,0.5666666666666667,High
5,2023-08-22,30.5,78,722,6.2,20,86.9,2.86,0.9333333333333333,High
5,2023-08-23,30.8,61,460,6.2,21,87.44,3.0,0.36666666666666664,High
5,2023-08-24,31.3,57,587,6.5,22,88.34,3.14,0.23333333333333334,Moderate
5,2023-08-25,31.4,53,646,6.2,23,88.52,3.29,0.1,Moderate
5,2023-08-26,31.4,55,749,6.7,24,88.52,3.43,0.16666666666666666,Moderate
5,2023-08-27,30.1,52,468,6.7,25,86.18,3.57,0.06666666666666667,Moderate
5,2023-08-28,29.4,67,470,6.4,26,84.91999999999999,3.71,0.5666666666666667,High
5,2023-08-29,28.7,58,565,6.5,27,83.66,3.86,0.26666666666666666,Moderate
5,2023-08-30,29.1,75,516,6.5,28,84.38000000000001,4.0,0.8333333333333334,High
5,2023-08-31,29.2,54,410,6.6,29,84.56,4.14,0.13333333333333333,Moderate
5,2023-09-01,31.7,66,763,6.1,30,89.06,4.29,0.5333333333333333,High
5,2023-09-02,31.7,56,413,6.4,31,89.06,4.43,0.2,Moderate
5,2023-09-03,31.7,67,468,6.2,32,89.06,4.57,0.5666666666666667,High
5,2023-09-04,31.7,66,422,6.5,33,89.06,4.71,0.5333333333333333,High
5,2023-09-05,32.0,66,661,6.2,34,89.6,4.86,0.5333333333333333,High
5,2023-09-06,32.1,72,605,6.2,35,89.78,5.0,0.7333333333333333,High
5,2023-09-07,31.5,70,768,6.8,36,88.7,5.14,0.6666666666666666,High
5,2023-09-08,29.8,65,645,6.3,37,85.64,5.29,0.5,High
5,2023-09-09,20.1,54,661,6.3,38,68.18,5.43,0.13333333333333333,Moderate
5,2023-09-10,31.1,76,573,6.4,39,87.98,5.57,0.8666666666666667,High
5,2023-09-11,31.2,52,471,6.7,40,88.16,5.71,0.06666666666666667,Moderate
5,2023-09-12,31.2,72,738,6.2,41,88.16,5.86,0.7333333333333333,High
5,2023-09-13,30.4,60,529,6.1,42,86.72,6.0,0.3333333333333333,Moderate
5,2023-09-14,29.1,58,576,6.2,43,84.38000000000001,6.14,0.26666666666666666,Moderate
5,2023-09-15,30.6,77,453,6.1,44,87.08000000000001,6.29,0.9,High
5,2023-09-16,31.5,80,483,6.5,45,88.7,6.43,1.0,High
6,2023-08-03,33.4,66,795,6.1,1,92.11999999999999,0.14,0.5333333333333333,High
6,2023-08-04,33.5,77,738,6.5,2,92.3,0.29,0.9,High
6,2023-08-05,33.4,66,662,6.4,3,92.11999999999999,0.43,0.5333333333333333,High
6,2023-08-06,33.4,56,653,6.3,4,92.11999999999999,0.57,0.2,Moderate
6,2023-08-07,33.4,62,521,6.7,5,92.11999999999999,0.71,0.4,High
6,2023-08-08,32.3,65,482,6.7,6,90.14,0.86,0.5,High
6,2023-08-09,32.3,60,620,6.6,7,90.14,1.0,0.3333333333333333,Moderate
6,2023-08-10,22.7,74,740,6.6,8,72.86,1.14,0.8,High
6,2023-08-11,31.9,73,760,6.3,9,89.41999999999999,1.29,0.7666666666666667,High
6,2023-08-12,30.2,71,485,6.4,10,86.36,1.43,0.7,High
6,2023-08-13,30.1,59,648,6.1,11,86.18,1.57,0.3,Moderate
6,2023-08-14,30.1,64,490,6.6,12,86.18,1.71,0.4666666666666667,High
6,2023-08-15,30.1,74,425,6.1,13,86.18,1.86,0.8,High
6,2023-08-16,29.8,78,755,6.8,14,85.64,2.0,0.9333333333333333,High
6,2023-08-17,29.6,50,437,6.6,15,85.28,2.14,0.0,Moderate
6,2023-08-18,30.9,59,666,6.4,16,87.61999999999999,2.29,0.3,Moderate
6,2023-08-19,30.8,58,583,6.6,17,87.44,2.43,0.26666666666666666,Moderate
6,2023-08-20,30.9,56,568,6.2,18,87.61999999999999,2.57,0.2,Moderate
6,2023-08-21,30.2,73,662,6.2,19,86.36,2.71,0.7666666666666667,High
6,2023-08-22,30.5,63,553,6.5,20,86.9,2.86,0.43333333333333335,High
6,2023-08-23,30.8,54,474,6.7,21,87.44,3.0,0.13333333333333333,Moderate
6,2023-08-24,31.3,51,596,6.5,22,88.34,3.14,0.03333333333333333,Moderate
6,2023-08-25,31.4,73,614,6.7,23,88.52,3.29,0.7666666666666667,High
6,2023-08-26,31.4,52,500,6.2,24,88.52,3.43,0.06666666666666667,Moderate
6,2023-08-27,30.1,51,474,6.2,25,86.18,3.57,0.03333333333333333,Moderate
6,2023-08-28,29.4,76,515,6.5,26,84.91999999999999,3.71,0.8666666666666667,High
6,2023-08-29,28.7,65,693,6.0,27,83.66,3.86,0.5,High
6,2023-08-30,29.1,68,782,6.2,28,84.38000000000001,4.0,0.6,High
6,2023-08-31,29.2,59,626,6.6,29,84.56,4.14,0.3,Moderate
6,2023-09-01,31.7,77,512,6.5,30,89.06,4.29,0.9,High
6,2023-09-02,31.7,77,742,6.5,31,89.06,4.43,0.9,High
6,2023-09-03,31.7,53,757,6.5,32,89.06,4.57,0.1,Moderate
6,2023-09-04,31.7,77,456,6.8,33,89.06,4.71,0.9,High
6,2023-09-05,32.0,64,642,6.4,34,89.6,4.86,0.4666666666666667,High
6,2023-09-06,32.1,61,517,6.7,35,89.78,5.0,0.36666666666666664,High
6,2023-09-07,31.5,56,701,6.0,36,88.7,5.14,0.2,Moderate
6,2023-09-08,29.8,74,793,6.7,37,85.64,5.29,0.8,High
6,2023-09-09,20.1,55,490,6.5,38,68.18,5.43,0.16666666666666666,Moderate
6,2023-09-10,31.1,71,555,6.2,39,87.98,5.57,0.7,High
6,2023-09-11,31.2,56,549,6.5,40,88.16,5.71,0.2,Moderate
6,2023-09-12,31.2,57,793,6.4,41,88.16,5.86,0.23333333333333334,Moderate
6,2023-09-13,30.4,68,491,6.6,42,86.72,6.0,0.6,High
6,2023-09-14,29.1,68,789,6.2,43,84.38000000000001,6.14,0.6,High
6,2023-09-15,30.6,61,741,6.3,44,87.08000000000001,6.29,0.36666666666666664,High
6,2023-09-16,31.5,71,591,6.4,45,88.7,6.43,0.7,High
7,2023-08-03,33.4,74,459,6.5,1,92.11999999999999,0.14,0.8,High
7,2023-08-04,33.5,78,598,6.3,2,92.3,0.29,0.9333333333333333,High
7,2023-08-05,33.4,51,507,6.1,3,92.11999999999999,0.43,0.03333333333333333,Moderate
7,2023-08-06,33.4,58,583,6.1,4,92.11999999999999,0.57,0.26666666666666666,Moderate
7,2023-08-07,33.4,75,555,6.2,5,92.11999999999999,0.71,0.8333333333333334,High
7,2023-08-08,32.3,61,684,6.7,6,90.14,0.86,0.36666666666666664,High
7,2023-08-09,32.3,64,769,6.1,7,90.14,1.0,0.4666666666666667,High
7,2023-08-10,22.7,70,566,6.0,8,72.86,1.14,0.6666666666666666,High
7,2023-08-11,31.9,68,763,6.5,9,89.41999999999999,1.29,0.6,High
7,2023-08-12,30.2,80,782,6.5,10,86.36,1.43,1.0,High
7,2023-08-13,30.1,68,432,6.4,11,86.18,1.57,0.6,High
7,2023-08-14,30.1,56,676,6.8,12,86.18,1.71,0.2,Moderate
7,2023-08-15,30.1,52,780,6.5,13,86.18,1.86,0.06666666666666667,Moderate
7,2023-08-16,29.8,53,778,6.1,14,85.64,2.0,0.1,Moderate
7,2023-08-17,29.6,58,491,6.6,15,85.28,2.14,0.26666666666666666,Moderate
7,2023-08-18,30.9,72,536,6.8,16,87.61999999999999,2.29,0.7333333333333333,High
7,2023-08-19,30.8,60,701,6.3,17,87.44,2.43,0.3333333333333333,Moderate
7,2023-08-20,30.9,77,730,6.4,18,87.61999999999999,2.57,0.9,High
7,2023-08-21,30.2,51,619,6.3,19,86.36,2.71,0.03333333333333333,Moderate
7,2023-08-22,30.5,71,503,6.2,20,86.9,2.86,0.7,High
7,2023-08-23,30.8,58,503,6.2,21,87.44,3.0,0.26666666666666666,Moderate
7,2023-08-24,31.3,57,552,6.1,22,88.34,3.14,0.23333333333333334,Moderate
7,2023-08-25,31.4,77,617,6.5,23,88.52,3.29,0.9,High
7,2023-08-26,31.4,61,640,6.6,24,88.52,3.43,0.36666666666666664,High
7,2023-08-27,30.1,55,600,6.5,25,86.18,3.57,0.16666666666666666,Moderate
7,2023-08-28,29.4,79,670,6.7,26,84.91999999999999,3.71,0.9666666666666667,High
7,2023-08-29,28.7,63,541,6.0,27,83.66,3.86,0.43333333333333335,High
7,2023-08-30,29.1,62,498,6.5,28,84.38000000000001,4.0,0.4,High
7,2023-08-31,29.2,80,426,6.6,29,84.56,4.14,1.0,High
7,2023-09-01,31.7,52,583,6.5,30,89.06,4.29,0.06666666666666667,Moderate
7,2023-09-02,31.7,67,696,6.7,31,89.06,4.43,0.5666666666666667,High
7,2023-09-03,31.7,71,781,6.6,32,89.06,4.57,0.7,High
7,2023-09-04,31.7,79,436,6.7,33,89.06,4.71,0.9666666666666667,High
7,2023-09-05,32.0,78,466,6.6,34,89.6,4.86,0.9333333333333333,High
7,2023-09-06,32.1,76,472,6.5,35,89.78,5.0,0.8666666666666667,High
7,2023-09-07,31.5,54,749,6.8,36,88.7,5.14,0.13333333333333333,Moderate
7,2023-09-08,29.8,54,645,6.4,37,85.64,5.29,0.13333333333333333,Moderate
7,2023-09-09,20.1,63,555,6.2,38,68.18,5.43,0.43333333333333335,High
7,2023-09-10,31.1,53,545,6.2,39,87.98,5.57,0.1,Moderate
7,2023-09-11,31.2,53,800,6.7,40,88.16,5.71,0.1,Moderate
7,2023-09-12,31.2,52,468,6.7,41,88.16,5.86,0.06666666666666667,Moderate
7,2023-09-13,30.4,52,777,6.6,42,86.72,6.0,0.06666666666666667,Moderate
7,2023-09-14,29.1,60,459,6.6,43,84.38000000000001,6.14,0.3333333333333333,Moderate
7,2023-09-15,30.6,69,787,6.0,44,87.08000000000001,6.29,0.6333333333333333,High
7,2023-09-16,31.5,72,508,6.3,45,88.7,6.43,0.7333333333333333,High
7,2023-09-17,29.1,62,696,6.5,46,84.38000000000001,6.57,0.4,High
7,2023-09-18,30.5,58,600,6.2,47,86.9,6.71,0.26666666666666666,Moderate
8,2023-08-03,33.4,76,650,6.0,1,92.11999999999999,0.14,0.8666666666666667,High
8,2023-08-04,33.5,77,457,6.3,2,92.3,0.29,0.9,High
8,2023-08-05,33.4,72,454,6.7,3,92.11999999999999,0.43,0.7333333333333333,High
8,2023-08-06,33.4,71,673,6.4,4,92.11999999999999,0.57,0.7,High
8,2023-08-07,33.4,78,700,6.0,5,92.11999999999999,0.71,0.9333333333333333,High
